ESTADO_NOTICIA,ETAPA,ANIO_HECHO,DEPARTAMENTO,MUNICIPIO,IMPUTACION,CONDENA,ACUSACION,CAPTURA,SEXO_VICTIMA,GRUPO_EDAD_VICTIMA,PAIS_NACIMIENTO,HOMICIDIO_DOLOSO_CONSUMADO,TOTAL_VICTIMAS
ACTIVO,INDAGACIÓN,2017,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
INACTIVO,JUICIO,2016,Bolívar,CARTAGENA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2015,Quindío,MONTENEGRO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Antioquia,BELLO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,JUICIO,2015,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Norte de Santander,SARDINATA,SI,SI,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,,SI,1
ACTIVO,JUICIO,2017,Valle del Cauca,YUMBO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,INDAGACIÓN,2020,Bolívar,MOMPÓS,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Sucre,SINCELEJO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2020,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2019,Cauca,SANTANDER DE QUILICHAO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Atlántico,BARRANQUILLA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Bolívar,MAGANGUÉ,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Magdalena,SANTA MARTA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Quindío,ARMENIA,SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Cesar,AGUSTÍN CODAZZI,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2020,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Nariño,PASTO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Chocó,RIOSUCIO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Bolívar,MAHATES,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2017,Meta,PUERTO GAITÁN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INDAGACIÓN,2018,Valle del Cauca,CALI,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Bolívar,ARJONA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2017,Atlántico,JUAN DE ACOSTA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2017,Valle del Cauca,BUENAVENTURA,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Antioquia,MEDELLÍN,SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INDAGACIÓN,2018,Valle del Cauca,CALI,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2015,La Guajira,URUMITA,SI,SI,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2020,Cesar,PELAYA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2018,Tolima,IBAGUÉ,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Atlántico,BARRANQUILLA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Venezuela,SI,2
INACTIVO,INDAGACIÓN,2017,Santander,BOLÍVAR,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2018,Cesar,SAN ALBERTO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2020,Sucre,SAN MARCOS,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2016,Nariño,TUMACO,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2018,Cauca,ARGELIA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2015,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INVESTIGACIÓN,2019,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Huila,ACEVEDO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Putumayo,MOCOA,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2015,Magdalena,EL BANCO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INVESTIGACIÓN,2020,Antioquia,MEDELLÍN,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INDAGACIÓN,2019,Valle del Cauca,CALI,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
INACTIVO,EJECUCIÓN DE PENAS,2018,Cauca,CORINTO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,2
ACTIVO,INDAGACIÓN,2020,Cauca,SOTARA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Venezuela,NO,1
ACTIVO,JUICIO,2019,Cesar,VALLEDUPAR,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2020,Valle del Cauca,CALI,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Venezuela,NO,2
INACTIVO,EJECUCIÓN DE PENAS,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Antioquia,YARUMAL,SI,SI,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Santander,CIMITARRA,SI,SI,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INVESTIGACIÓN,2020,Antioquia,MEDELLÍN,SI,NO,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,INDAGACIÓN,2019,Risaralda,PEREIRA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Cundinamarca,LA PEÑA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2020,Atlántico,BARRANQUILLA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,,SI,1
ACTIVO,JUICIO,2018,Santander,CIMITARRA,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2016,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2019,Tolima,IBAGUÉ,SI,NO,NO,NO,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2015,Bolívar,CARTAGENA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INDAGACIÓN,2016,Quindío,ARMENIA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2016,Córdoba,TIERRALTA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,TERMINACIÓN ANTICIPADA,2018,Meta,VILLAVICENCIO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Valle del Cauca,BUENAVENTURA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2019,Tolima,IBAGUÉ,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,INDAGACIÓN,2018,Chocó,ACANDÍ,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2018,Atlántico,BARRANQUILLA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Huila,ACEVEDO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Tolima,FLANDES,SI,SI,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2020,Atlántico,BARRANQUILLA,SI,SI,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2019,Casanare,TRINIDAD,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2020,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2018,Antioquia,YARUMAL,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2019,Antioquia,MEDELLÍN,NO,NO,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Huila,LA PLATA,SI,SI,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Antioquia,MEDELLÍN,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2019,Cauca,SILVIA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2020,Tolima,IBAGUÉ,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2017,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2015,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2016,Valle del Cauca,PALMIRA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Antioquia,MEDELLÍN,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2018,Tolima,MARIQUITA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2015,Valle del Cauca,RIOFRÍO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Cauca,CORINTO,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,2
ACTIVO,INDAGACIÓN,2019,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,,SI,1
ACTIVO,JUICIO,2020,Valle del Cauca,LA CUMBRE,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,INDAGACIÓN,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Casanare,PAZ DE ARIPORO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Atlántico,BARRANQUILLA,SI,NO,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2017,Tolima,IBAGUÉ,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2019,Meta,VILLAVICENCIO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2020,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2020,Chocó,QUIBDO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2016,Bolívar,CARTAGENA,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Bolívar,MAGANGUÉ,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INVESTIGACIÓN,2018,Antioquia,YARUMAL,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,INDAGACIÓN,2018,Córdoba,PUERTO LIBERTADOR,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Tolima,IBAGUÉ,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Norte de Santander,CÚCUTA,SI,SI,NO,SI,MASCULINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Cauca,GUAPI,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Venezuela,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Valle del Cauca,PALMIRA,SI,NO,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Antioquia,MEDELLÍN,SI,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INDAGACIÓN,2016,Atlántico,SOLEDAD,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2020,Nariño,PASTO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2016,Cauca,PAEZ,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,INVESTIGACIÓN,2020,Atlántico,MALAMBO,SI,NO,NO,SI,MASCULINO,ADOLESCENTE 14 - 17,,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Putumayo,MOCOA,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Norte de Santander,CÚCUTA,SI,SI,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2018,Valle del Cauca,BUENAVENTURA,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Antioquia,BELLO,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,INDAGACIÓN,2017,Nariño,PASTO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
ACTIVO,JUICIO,2020,Casanare,MANÍ,SI,NO,SI,SI,MASCULINO,ADOLESCENTE 14 - 17,Venezuela,NO,1
ACTIVO,JUICIO,2017,Cundinamarca,GUAYABETAL,SI,SI,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
ACTIVO,JUICIO,2017,Atlántico,LURUACO,SI,NO,NO,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Huila,RIVERA,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,INDAGACIÓN,2019,Risaralda,PEREIRA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,,SI,2
INACTIVO,INDAGACIÓN,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,5
INACTIVO,EJECUCIÓN DE PENAS,2020,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,2
ACTIVO,INDAGACIÓN,2017,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,2
ACTIVO,JUICIO,2019,Antioquia,MEDELLÍN,SI,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,,SI,1
ACTIVO,JUICIO,2019,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,3
INACTIVO,JUICIO,2020,Atlántico,SOLEDAD,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,INDAGACIÓN,2018,Antioquia,SAN LUIS,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Cauca,BALBOA,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,JUICIO,2018,Casanare,YOPAL,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Chocó,QUIBDO,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2019,Sucre,LOS PALMITOS,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,INDAGACIÓN,2016,Magdalena,CIÉNAGA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,INVESTIGACIÓN,2017,Bolívar,SAN PABLO,SI,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Risaralda,DOSQUEBRADAS,SI,SI,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,JUICIO,2019,Antioquia,PUERTO BERRÍO,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2017,Antioquia,MEDELLÍN,SI,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,INDAGACIÓN,2019,Cauca,LÓPEZ,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,INDAGACIÓN,2019,Antioquia,SABANETA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Bolívar,MAGANGUÉ,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Cauca,SANTANDER DE QUILICHAO,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,8
ACTIVO,INDAGACIÓN,2019,Antioquia,MEDELLÍN,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Casanare,TRINIDAD,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,JUICIO,2017,Tolima,IBAGUÉ,SI,NO,SI,SI,MASCULINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Tolima,IBAGUÉ,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Caldas,CHINCHINÁ,SI,SI,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Cundinamarca,SOACHA,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2019,Antioquia,COPACABANA,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,EJECUCIÓN DE PENAS,2018,Cesar,LA JAGUA DE IBIRICO,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,EJECUCIÓN DE PENAS,2017,Valle del Cauca,CALI,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
INACTIVO,INDAGACIÓN,2015,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,MASCULINO,ADULTEZ 29 - 59,Venezuela,SI,1
ACTIVO,INDAGACIÓN,2020,Santander,PIEDECUESTA,NO,NO,NO,NO,MASCULINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,Valle del Cauca,PRADERA,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,,SI,1
ACTIVO,INDAGACIÓN,2018,Bolívar,CARTAGENA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,INDAGACIÓN,2019,Chocó,QUIBDO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2020,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,NO,SI,SI,MASCULINO,ADULTEZ 29 - 59,Colombia,NO,3
ACTIVO,INDAGACIÓN,2020,Nariño,TUMACO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2019,Magdalena,SANTA MARTA,SI,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2016,Casanare,YOPAL,SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,TERMINACIÓN ANTICIPADA,2017,Tolima,RIOBLANCO,SI,SI,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,EJECUCIÓN DE PENAS,2019,Tolima,IBAGUÉ,SI,SI,NO,SI,FEMENINO,ADULTEZ 29 - 59,,SI,1
ACTIVO,JUICIO,2020,Cundinamarca,GIRARDOT,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,INDAGACIÓN,2019,Bolívar,CARTAGENA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,INDAGACIÓN,2019,Cauca,VILLA RICA,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2018,Córdoba,LA APARTADA,SI,SI,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
ACTIVO,JUICIO,2020,Valle del Cauca,CALI,SI,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
ACTIVO,JUICIO,2019,Nariño,BARBACOAS,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,,SI,1
ACTIVO,INDAGACIÓN,2018,Cauca,CALOTO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
INACTIVO,EJECUCIÓN DE PENAS,2019,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",SI,SI,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
